ANIX,08-27-21,5.25,539658.0,404829.0,157240000,0,0,1.41,Neutral,6,3,2,0,2,0,0,109.52,109.52,109.52
APEI,08-27-21,26.54,140171.0,132854.0,496140000,22.68,0,0.59,Neutral,316,196,6,0,6,0,0,43.18,50.72,69.56
AMZN,08-27-21,3349.63,2270000.0,3510000.0,1700000000000,58.39,0,1.14,Positive,4443,3145,39,0,39,0,0,7.47,24.59,49.27
APEN,08-27-21,8.46,69970.0,423936.0,242830000,0,0,2.18,Negative,226,99,2,0,2,0,0,65.48,65.48,65.48
AMD,08-27-21,111.4,60840000.0,51300000.0,135120000000,39.79,0,2.01,Neutral,1797,1001,28,0,20,7,1,-88.33,-2.55,34.65
AMSWA,08-27-21,24.5,127370.0,131297.0,814450000,102.09,1.87,0.5,Positive,384,163,3,0,3,0,0,6.12,11.22,16.33
APPF,08-27-21,122.35,142514.0,145335.0,4230000000,31.21,0,1.08,Positive,261,181,3,0,0,2,1,-6.01,5.44,22.6
APOG,08-27-21,43.71,93120.0,175280.0,1120000000,50.83,1.88,1.12,Positive,279,176,2,0,1,1,0,-24.5,-7.34,9.81
APPN,08-27-21,108.96,524226.0,940642.0,7750000000,0,0,1.74,Neutral,317,174,8,0,1,5,2,-29.33,11.97,70.7
APPS,08-27-21,52.6,2120000.0,3460000.0,5050000000,87.67,0,2.38,Neutral,415,156,6,0,5,1,0,-40.11,75.7,150.95
ANGI,08-27-21,10.55,1020000.0,1730000.0,5320000000,0,0,1.92,Neutral,468,403,13,0,10,3,0,23.22,45.12,89.57
APTX,08-27-21,2.55,72052.0,732633.0,172680000,0,0,1.36,Neutral,124,51,7,0,6,0,1,213.73,311.76,370.59
APYX,08-27-21,11.43,52658.0,85760.0,392310000,0,0,0.72,Positive,64,29,3,0,3,0,0,4.99,16.62,22.48
APLS,08-27-21,66.39,774811.0,765009.0,5780000000,0,0,1.48,Positive,246,97,14,1,12,1,0,-39.75,20.15,95.81
APVO,08-27-21,17.58,73448.0,62349.0,86040000,0,0,7.1,Positive,189,101,2,0,2,0,0,184.41,184.41,184.41
AQMS,08-27-21,2.25,889035.0,2600000.0,156280000,0,0,1.56,Neutral,250,143,1,0,1,0,0,-100.0,-100.0,-100.0
ARAY,08-27-21,4.07,390723.0,753053.0,369670000,0,0,1.86,Neutral,320,161,1,0,1,0,0,-100.0,-100.0,-100.0
AQB,08-27-21,4.64,628239.0,1960000.0,329560000,0,0,1.08,Neutral,179,93,4,0,3,1,0,7.76,93.97,223.28
ARAV,08-27-21,4.11,90883.0,345153.0,85130000,0,0,3.08,Positive,94,46,4,0,4,0,0,337.96,467.64,532.6
ARKO,08-27-21,9.76,550191.0,486061.0,1210000000,69.71,0,0.11,Neutral,6,2,4,1,3,0,0,22.95,29.82,33.2
AROW,08-27-21,36.47,21756.0,27993.0,568020000,11.33,2.92,0.69,Neutral,109,71,1,0,0,1,0,-23.22,-23.22,-23.22
ARCB,08-27-21,67.77,207658.0,290147.0,1730000000,13.18,0.49,1.79,Positive,384,340,9,0,8,1,0,-11.47,23.79,46.08
ARCE,08-27-21,23.1,342548.0,261853.0,697320000,0,0,0.87,Neutral,153,103,3,0,3,0,0,40.69,98.4,151.08
APTO,08-27-21,2.96,1700000.0,2350000.0,263290000,0,0,1.75,Neutral,357,153,6,0,6,0,0,136.49,265.88,372.97
APA,08-27-21,18.74,6650000.0,8020000.0,7080000000,10.53,0.57,4.95,Neutral,28,8,16,1,8,7,0,-14.62,31.8,102.77
ARCC,08-27-21,20.12,1650000.0,2140000.0,8970000000,5.17,8.03,1.18,Positive,384,211,6,0,4,2,0,-15.51,-0.6,9.34
ARCT,08-27-21,56.69,597826.0,963109.0,1490000000,0,0,2.8,Neutral,393,184,10,0,3,1,6,-59.43,12.1,134.61
ARTL,08-27-21,0.98,134566.0,3880000.0,24010000,0,0,2.28,Positive,26,11,2,0,2,0,0,614.29,614.29,614.29
ARTNA,08-27-21,38.51,21028.0,24630.0,362030000,21.39,2.72,0.07,Positive,167,117,1,0,1,0,0,-100.0,-100.0,-100.0
ASLE,08-27-21,13.25,66078.0,85359.0,569070000,0,0,0.25,Neutral,2,1,1,0,0,1,0,20.75,20.75,20.75
ARGX,08-27-21,336.69,152180.0,175746.0,17320000000,0,0,0.91,Neutral,526,259,16,0,9,7,0,-25.75,1.08,27.71
ASMB,08-27-21,3.67,674148.0,1150000.0,165050000,0,0,0.32,Neutral,235,138,5,0,3,2,0,90.74,206.54,308.72
ARLP,08-27-21,8.5,537906.0,538279.0,1080000000,8.42,4.88,1.78,Neutral,362,213,1,0,0,1,0,-100.0,-100.0,-100.0
ARDS,08-27-21,3.77,50840.0,79394.0,45690000,0,0,0.13,Negative,118,68,3,0,3,0,0,377.45,421.75,483.55
ARVN,08-27-21,85.42,472526.0,476391.0,4200000000,0,0,2.02,Neutral,117,58,13,0,13,0,0,8.87,54.44,99.02
ASLN,08-27-21,2.71,293840.0,1310000.0,102960000,0,0,2.39,Neutral,185,106,2,0,2,0,0,195.2,195.2,195.2
ASML,08-27-21,832.92,658269.0,846312.0,349670000000,60.75,0.39,1.05,Neutral,570,301,18,0,13,4,1,-26.76,-17.96,-3.95
ARQT,08-27-21,21.69,166744.0,224377.0,1090000000,0,0,0.29,Positive,22,12,6,0,6,0,0,65.98,150.81,268.83
ARDX,08-27-21,1.45,3340000.0,9480000.0,149520000,0,0,1.85,Neutral,487,217,8,0,5,3,0,37.93,414.48,934.48
AQST,08-27-21,4.04,328910.0,717074.0,157100000,0,0,3.57,Neutral,172,82,5,0,5,0,0,73.27,263.12,642.57
ASRT,08-27-21,1.08,557742.0,2400000.0,48050000,0,0,1.49,Neutral,80,42,2,0,2,0,0,-100.0,-100.0,-100.0
ASUR,08-27-21,9.0,27507.0,106702.0,172520000,0,0,1.17,Neutral,328,127,2,0,2,0,0,22.22,22.22,22.22
ASTE,08-27-21,61.96,77152.0,125351.0,1410000000,41.03,0.73,1.36,Positive,392,206,4,0,2,2,0,3.29,27.5,48.48
ATEX,08-27-21,57.41,59016.0,156416.0,1040000000,0,0,0.44,Neutral,27,25,3,0,2,1,0,4.51,8.87,13.22
ATEC,08-27-21,13.1,997072.0,689196.0,1310000000,0,0,1.62,Neutral,284,210,7,0,7,0,0,-0.76,51.07,83.21
